Organisations,telephone,addresse,Email,nom
INSTITUT PRIVE DE GESTION,338242839,Sacre Coeur 2 Immeuble IPG/ISTI, information@ipg-isti.com,irene
UNIVERSITE AFI-UE, 338247110 / 775088728,"Rue G-Zone B, Dakar", afi@afi-ue.sn,irene
Groupe Scolaire Franco-Arabe AL WEHDAH, 33 827 14 42,HLM Grand Yoff Villa N°399 - Dakar/SENEGAL, karimsarr@alwehdahsenegal.org,irene
Suba Centre Sénégal,221338379789,sité Sotrac unité 4 nr 190, subacentre@yahoo.fr,irene
CONNECTIVE MARKET,212600165841,Pavillon International BD Mohammed v bureau 101 Tanger, sara.e@connectivemarket.com,irene
COMPLEXE SENKEUR,338364459,Cité Sidak de Grand Mbao, senkernet@yahoo.com,irene
ECOLE CENTRALE DES LOGICIELS LIBRES ET TELEOMMUNI, 338674590 / 774667163,LIBERTE 5, ecole@ec2lt.sn,irene
AUTO ECOLE TERANGA, 338557765 / 775399031,PARCELLES ASSAINIES SOPRIM EXTENSION N1 FACE X 22,,irene
EUREKA FC, 775500501 / 775656808,NORD FOIRE N°19 QUARTIER AZUR, eurekafc.2010gmail.com,irene
AUTO ECOLE MOUSSA SAGNA, 774111564 / 775748027,NORD PATTE D'OIE BULDERS VILLA N°11 TF 8690, cheriffall@gmail.com,irene
JARDIN D''ENFANTS KEUR ADAMA NDIAYE,338250992,"1486, Square Hlm Iv, HLM, Dakar",,irene
JARDIN D''ENFANTS LES JOURS HEUREUX,338250992,", Km 5, Avenue Cheikh Anta Diop, FANN-POINT E-AMITIÉ, Dakar",,irene
JARDIN D''ENFANTS LES PETITS GENIES,338356644,", Square Cambérène, CAMBÉRÈNE, Dakar",,irene
JARDIN D'ENFANTS AU BONHEUR DES PETITS,338272427,"8822, Square Sacré C?ur 3, MERMOZ-SACRÉ C?UR, Dakar",,irene
JARDIN D'ENFANTS CROIX ROUGE HANN,338321292,", Square Hann Plage, HANN-BEL AIR, Dakar", crsnational@sentoo.sn,irene
JARDIN D'ENFANTS CROIX ROUGE LIBERTE,338248489,"5284, Square Liberté 5, SICAP LIBERTÉ, Dakar", crsnational@sentoo.sn,irene
JARDIN D'ENFANTS CROIX ROUGE PIKINE,338349081,PIKINE, crsnational@sentoo.sn,irene
JARDIN D'ENFANTS CROIX ROUGE POINT E,338247141,", Square Point E Face Police, FANN-POINT E-AMITIÉ, Dakar", crsnational@sentoo.sn,irene
JARDIN D'ENFANTS CROIX ROUGE SENEGALAISE, 338235786 / 338247141,", Avenue Franklin Roosevelt, DAKAR-PLATEAU, Dakar",,irene
